排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM)2 Duo CPU T7700 @ 2.40GHz,16,2824,42698,16
2,Intel(R) Core(TM)2 Duo CPU T7700 @ 2.40GHz,32,1258,36787,32
3,Intel(R) Core(TM)2 Duo CPU T7700 @ 2.40GHz,16,1217,18224,16
4,Intel(R) Core(TM)2 Duo CPU T7700 @ 2.40GHz,8,1169,8932,8
5,Intel(R) Core(TM)2 Duo CPU T7700 @ 2.40GHz,8,992,7549,8
6,Intel(R) Core(TM)2 Duo CPU T7700 @ 2.40GHz,2,830,1635,2
7,Intel(R) Core(TM)2 Duo CPU T7700 @ 2.40GHz,8,824,5977,8
