排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,104,1320,72992,104
2,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,4,960,3719,4
3,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,2,946,1737,2
4,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,993,993,1
5,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,974,974,1
6,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,966,966,1
7,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,932,932,1
8,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,906,906,1
9,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,889,889,1
10,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,856,856,1
11,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,849,849,1
12,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,744,744,1
13,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,4,882,565,4
14,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,4,872,474,4
15,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,1,445,445,1
16,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,4,893,384,4
17,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,4,571,293,4
18,Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz,4,474,280,4
