排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,1076,34377,48
2,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,48,1043,36170,48
3,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,8,1043,7519,8
4,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,8,971,6934,8
5,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,24,960,18782,24
6,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,8,960,7462,8
7,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,4,952,3769,4
8,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,920,920,1
9,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,912,1766,2
10,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,4,906,3573,4
11,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,899,1652,2
12,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,896,36058,48
13,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,24,894,17684,24
14,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,24,894,17879,24
15,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,892,1799,2
16,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,889,889,1
17,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,4,871,3551,4
18,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,864,864,1
19,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,863,863,1
20,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,860,1698,2
21,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,856,856,1
22,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,855,855,1
23,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,851,1687,2
24,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,850,850,1
25,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,4,846,3389,4
26,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,843,843,1
27,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,834,834,1
28,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,830,830,1
29,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,821,821,1
30,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,808,808,1
31,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,806,806,1
32,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,803,1502,2
33,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,801,814,2
34,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,797,797,1
35,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,794,1389,2
36,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,789,789,1
37,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,788,788,1
38,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,780,780,1
39,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,776,776,1
40,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,775,1406,2
41,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,775,775,1
42,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,773,1472,2
43,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,741,741,1
44,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,740,1581,2
45,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,733,733,1
46,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,732,1431,2
47,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,722,722,1
48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,709,1471,2
49,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,2,684,1520,2
50,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,679,679,1
51,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,4,599,587,4
52,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,283,283,1
53,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,271,271,1
54,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,259,259,1
