排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1353,8493,8
2,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1354,8484,8
3,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8,1356,8478,8
4,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8,1356,8478,8
5,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1295,8467,8
6,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1341,8460,8
7,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1287,8447,8
8,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1292,8431,8
9,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1263,8297,8
10,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1292,8292,8
11,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1264,8288,8
12,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1309,8286,8
13,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1261,8282,8
14,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1315,8263,8
15,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1258,8260,8
16,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1321,8247,8
17,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1275,8216,8
18,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1281,8170,8
19,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1337,7839,8
20,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1391,7832,8
21,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1393,7827,8
22,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1331,7801,8
23,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1166,7782,8
24,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1304,7768,8
25,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1225,7624,8
26,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1177,7521,8
27,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1184,7483,8
28,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1199,7307,8
29,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1049,6737,8
30,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1264,6682,8
31,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1112,6632,8
32,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1137,6518,8
33,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1044,6097,8
34,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1153,5981,8
35,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1098,5410,8
36,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1019,5125,8
37,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4,1276,4828,4
38,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4,1275,4805,4
39,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4,1108,3880,4
40,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4,991,3807,4
41,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,1,1059,3773,8
42,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,4,1184,3635,4
43,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,2,1088,1636,2
44,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,8,1287,1290,8
45,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,2,482,1097,2
