排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Haswell, no TSX, IBRS)",44,820,29786,44
2,"Intel Core Processor (Haswell, no TSX, IBRS)",32,845,12091,32
3,"Intel Core Processor (Haswell, no TSX, IBRS)",32,757,11982,32
4,"Intel Core Processor (Haswell, no TSX, IBRS)",8,950,7624,8
5,"Intel Core Processor (Haswell, no TSX, IBRS)",8,959,6867,8
6,"Intel Core Processor (Haswell, no TSX, IBRS)",8,801,6286,8
7,"Intel Core Processor (Haswell, no TSX, IBRS)",8,794,5827,8
8,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1179,4635,4
9,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1178,4421,4
10,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1102,4209,4
11,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1088,4192,4
12,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1044,4186,4
13,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1118,4181,4
14,"Intel Core Processor (Haswell, no TSX, IBRS)",4,1054,4154,4
15,"Intel Core Processor (Haswell, no TSX, IBRS)",4,972,3696,4
16,"Intel Core Processor (Haswell, no TSX, IBRS)",4,842,3495,4
17,"Intel Core Processor (Haswell, no TSX, IBRS)",4,796,3413,4
18,"Intel Core Processor (Haswell, no TSX, IBRS)",4,911,3318,4
19,"Intel Core Processor (Haswell, no TSX, IBRS)",4,942,3294,4
20,"Intel Core Processor (Haswell, no TSX, IBRS)",4,796,3255,4
21,"Intel Core Processor (Haswell, no TSX, IBRS)",4,822,3246,4
22,"Intel Core Processor (Haswell, no TSX, IBRS)",4,830,3186,4
23,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1061,3168,3
24,"Intel Core Processor (Haswell, no TSX, IBRS)",4,801,3167,4
25,"Intel Core Processor (Haswell, no TSX, IBRS)",4,802,3162,4
26,"Intel Core Processor (Haswell, no TSX, IBRS)",4,786,3161,4
27,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1068,3156,3
28,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1094,3151,3
29,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1097,3151,3
30,"Intel Core Processor (Haswell, no TSX, IBRS)",4,867,3145,4
31,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1058,3128,3
32,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1070,3122,3
33,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1071,3117,3
34,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1074,3115,3
35,"Intel Core Processor (Haswell, no TSX, IBRS)",4,716,3115,4
36,"Intel Core Processor (Haswell, no TSX, IBRS)",4,782,3115,4
37,"Intel Core Processor (Haswell, no TSX, IBRS)",4,788,3114,4
38,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1043,3110,3
39,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1066,3110,3
40,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1069,3102,3
41,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1031,3092,3
42,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1047,3083,3
43,"Intel Core Processor (Haswell, no TSX, IBRS)",4,783,3062,4
44,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1060,3059,3
45,"Intel Core Processor (Haswell, no TSX, IBRS)",4,795,3055,4
46,"Intel Core Processor (Haswell, no TSX, IBRS)",4,761,3046,4
47,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1026,3039,3
48,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1053,3033,3
49,"Intel Core Processor (Haswell, no TSX, IBRS)",4,755,3017,4
50,"Intel Core Processor (Haswell, no TSX, IBRS)",4,781,3015,4
51,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1066,3008,3
52,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1008,3003,3
53,"Intel Core Processor (Haswell, no TSX, IBRS)",3,991,2997,3
54,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1050,2990,3
55,"Intel Core Processor (Haswell, no TSX, IBRS)",4,750,2977,4
56,"Intel Core Processor (Haswell, no TSX, IBRS)",4,788,2974,4
57,"Intel Core Processor (Haswell, no TSX, IBRS)",4,764,2971,4
58,"Intel Core Processor (Haswell, no TSX, IBRS)",4,800,2949,4
59,"Intel Core Processor (Haswell, no TSX, IBRS)",4,716,2949,4
60,"Intel Core Processor (Haswell, no TSX, IBRS)",4,775,2944,4
61,"Intel Core Processor (Haswell, no TSX, IBRS)",4,733,2941,4
62,"Intel Core Processor (Haswell, no TSX, IBRS)",4,737,2902,4
63,"Intel Core Processor (Haswell, no TSX, IBRS)",4,752,2894,4
64,"Intel Core Processor (Haswell, no TSX, IBRS)",4,788,2891,4
65,"Intel Core Processor (Haswell, no TSX, IBRS)",3,1042,2856,3
66,"Intel Core Processor (Haswell, no TSX, IBRS)",4,718,2812,4
67,"Intel Core Processor (Haswell, no TSX, IBRS)",4,709,2795,4
68,"Intel Core Processor (Haswell, no TSX, IBRS)",4,766,2777,4
69,"Intel Core Processor (Haswell, no TSX, IBRS)",4,711,2774,4
70,"Intel Core Processor (Haswell, no TSX, IBRS)",24,800,2681,24
71,"Intel Core Processor (Haswell, no TSX, IBRS)",8,2104,2624,8
72,"Intel Core Processor (Haswell, no TSX, IBRS)",4,707,2598,4
73,"Intel Core Processor (Haswell, no TSX, IBRS)",4,627,2445,4
74,"Intel Core Processor (Haswell, no TSX, IBRS)",3,773,2354,3
75,"Intel Core Processor (Haswell, no TSX, IBRS)",4,631,2348,4
76,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1111,2215,2
77,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1103,2214,2
78,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1103,2211,2
79,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1120,2195,2
80,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1093,2183,2
81,"Intel Core Processor (Haswell, no TSX, IBRS)",4,683,2179,4
82,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1110,2170,2
83,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1083,2168,2
84,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1090,2162,2
85,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1098,2161,2
86,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1079,2156,2
87,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1080,2155,2
88,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1078,2144,2
89,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1096,2142,2
90,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1051,2136,2
91,"Intel Core Processor (Haswell, no TSX, IBRS)",2,1093,2129,2
