排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 4800H with Radeon Graphics,8,2142,17070,8
2,AMD Ryzen 7 4800H with Radeon Graphics,2,2140,4227,2
3,AMD Ryzen 7 4800H with Radeon Graphics,1,2104,17764,16
4,AMD Ryzen 7 4800H with Radeon Graphics,1,2100,17831,16
5,AMD Ryzen 7 4800H with Radeon Graphics,6,2097,12535,6
6,AMD Ryzen 7 4800H with Radeon Graphics @2894.566 MHz,4,2082,8101,4
7,AMD Ryzen 7 4800H with Radeon Graphics,4,2064,7287,4
8,AMD Ryzen 7 4800H with Radeon Graphics,16,2051,16728,16
9,AMD Ryzen 7 4800H with Radeon Graphics @2894.564 MHz,4,2031,7977,4
10,AMD Ryzen 7 4800H with Radeon Graphics @ 2894.471 MHz,16,1984,15982,16
11,AMD Ryzen 7 4800H with Radeon Graphics,4,1973,7792,4
12,AMD Ryzen 7 4800H with Radeon Graphics @2894.566 MHz,4,1960,7946,4
13,AMD Ryzen 7 4800H with Radeon Graphics,1,1958,16138,16
14,AMD Ryzen 7 4800H with Radeon Graphics,4,1945,7608,4
15,AMD Ryzen 7 4800H with Radeon Graphics,1,1936,12148,16
16,AMD Ryzen 7 4800H with Radeon Graphics,4,1017,3300,4
